Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"May 22, 2021","May 22, 2021",Run,115,1.00637,579,9.58482,0.488661,6.2599,122.785,0,1553,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5782923271
"May 20, 2021","May 20, 2021",Run,101,1.00141,401,6.6647,4.99917,9.00265,12.002,0,1126,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5778528265
"May 18, 2021","May 18, 2021",Run,94,0.809861,492,10.1157,8.43635,5.93138,7.11208,0,1312,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5772640765
"May 18, 2021","May 18, 2021",Run,204,1.83275,971,8.83323,6.02551,6.79254,9.95766,0,2628,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5772589342
"May 17, 2021","May 17, 2021",Run,227,1.99887,1136,9.45696,1.37218,6.34453,43.726,0,3051,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5769530887
"May 17, 2021","May 17, 2021",Run,197,1.74514,980,9.36025,7.08187,6.41009,8.47234,0,2635,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5768270398
"May 15, 2021","May 15, 2021",Run,190,1.65066,971,9.7941,1.67831,6.12614,35.7502,0,2598,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5762771836
"May 14, 2021","May 14, 2021",Run,230,2.00275,1173,9.7632,1.38938,6.14552,43.1846,0,3140,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5761359355
"May 13, 2021","May 13, 2021",Run,115,0.995347,597,9.98158,1.06662,6.01107,56.2527,0,1594,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5758436347
"May 13, 2021","May 13, 2021",Run,197,1.69576,1018,10.0019,3.51741,5.99886,17.058,0,2718,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5756714836
"May 7, 2021","May 7, 2021",Run,119,1.0037,642,10.6506,1.0443,5.6335,57.4547,0,1703,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5740006567
"May 7, 2021","May 7, 2021",Run,118,1.00134,621,10.3218,6.2934,5.81296,9.5338,0,1652,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5739900550
"May 7, 2021","May 7, 2021",Run,110,1.00008,499,8.30091,0.385605,7.22812,155.6,0,1360,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5739817120
"May 6, 2021","May 6, 2021",Run,156,1.35219,800,9.86297,1.24263,6.08336,48.2847,0,2139,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5736767290
"April 27, 2021","April 27, 2021",Run,25,0.209892,544,43.258,3.92725,1.38703,15.2779,0,1336,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5709968404
"April 25, 2021","April 25, 2021",Run,349,3.00584,2220,12.3013,2.31023,4.87753,25.9715,0,5811,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5703786997
"April 18, 2021","April 18, 2021",Run,351,3.04682,1798,9.83222,1.21022,6.10239,49.5778,0,4809,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5681561809
"April 14, 2021","April 14, 2021",Run,188,2.26314,2686,19.7727,0.290482,3.03449,206.553,0,6802,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5670900229
"April 13, 2021","April 13, 2021",Run,216,2.41406,2164,14.9394,1.47635,4.01621,40.6408,0,5579,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5667813997
"April 7, 2021","April 7, 2021",Run,472,3.99731,2514,10.4806,4.61548,5.72486,12.9997,0,6680,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5648237152
"April 6, 2021","April 6, 2021",Run,197,2.35173,3036,21.512,3.57029,2.78914,16.8053,0,7654,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5645247400
"April 5, 2021","April 5, 2021",Run,203,2.35116,3450,24.4558,2.03552,2.4534,29.4764,0,8644,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5641289491
"March 30, 2021","March 30, 2021",Run,204,2.44876,3016,20.5256,4.11263,2.92319,14.5892,0,7622,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5622431554
"March 29, 2021","March 29, 2021",Run,166,2.00469,2414,20.0729,1.68029,2.9891,35.7082,0,6108,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5619930637
"March 23, 2021","March 23, 2021",Run,230,1.99948,1176,9.80391,4.57241,6.12001,13.1222,0,3146,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5599564069
"March 22, 2021","March 22, 2021",Run,162,1.94281,2293,19.672,2.14804,3.05003,27.9325,0,5809,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5596540006
"March 22, 2021","March 21, 2021",Run,563,5.29874,4341,13.6503,1.10597,4.39549,54.2509,0,11267,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5596394779
"March 20, 2021","March 20, 2021",Run,167,1.99859,2554,21.2938,1.95803,2.81772,30.643,0,6442,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5589884254
"March 19, 2021","March 19, 2021",Run,177,1.9673,3079,26.0847,2.05631,2.3002,29.1785,0,7693,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5586695605
"March 17, 2021","March 17, 2021",Run,159,1.91584,2360,20.5276,1.90826,2.92289,31.4422,0,5964,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5580276586
"March 15, 2021","March 15, 2021",Run,93,0.964085,1668,28.8369,2.34185,2.08066,25.6208,0,4150,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5574852061
"March 15, 2021","March 15, 2021",Run,122,1.39642,1444,17.2377,1.82961,3.48074,32.7939,0,3687,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5574784003
"March 14, 2021","March 14, 2021",Run,532,4.45072,2888,10.8103,1.10464,5.55028,54.3163,0,7650,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5570665966
"March 12, 2021","March 12, 2021",Run,246,2.85571,4183,24.4155,0.636483,2.45745,94.268,0,10481,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5565380425
"March 12, 2021","March 10, 2021",Run,104,1.03932,1921,30.7627,3.7983,1.95042,15.7965,0,4768,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5565380563
"March 5, 2021","March 5, 2021",Run,245,2.92451,3825,21.7902,4.2077,2.75353,14.2596,0,9637,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5541781006
"March 3, 2021","March 3, 2021",Run,399,3.41676,2084,10.1607,3.6611,5.90509,16.3885,0,5555,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5534340109
"Feb. 27, 2021","Feb. 27, 2021",Run,376,3.14239,2038,10.8063,0.579153,5.55233,103.6,0,5399,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5521628464
"Feb. 23, 2021","Feb. 23, 2021",Run,273,2.2397,1520,11.3121,0.812863,5.30407,73.8132,0,4009,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5506890865
"Feb. 21, 2021","Feb. 21, 2021",Run,395,3.32869,2123,10.6247,0.595379,5.64723,100.776,0,5633,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5500049476
"Feb. 16, 2021","Feb. 16, 2021",Run,189,2.27281,2792,20.4713,0.332811,2.93093,180.282,0,7057,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5487246319
"Feb. 9, 2021","Feb. 9, 2021",Run,188,2.23867,2959,22.0308,6.00755,2.72346,9.98743,0,7451,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5464929505
"Feb. 6, 2021","Feb. 6, 2021",Run,171,2.01529,2833,23.4201,1.90178,2.5619,31.5494,0,7112,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5454797773
"Feb. 2, 2021","Feb. 2, 2021",Run,97,1.12557,1182,17.4948,2.10608,3.4296,28.489,0,3015,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5439363361
