com.samsung.health.device_profile,1148009,8
accessory_type,capability,model,modify_sh_ver,name,pkg_name,update_time,providing_step_goal,step_source_group,device_type,backsync_step_goal,deviceuuid,manufacturer,connectivity_type,datauuid,device_group,create_time,fixed_name,create_sh_ver
,,iPhone 6,,My Device,com.sec.android.app.shealth,"04/30/2024, 12:12:55 PM",,,,,HuT3voPSBy,Apple,,34653666-3239-6638-3239-313332333165,360001,"04/30/2024, 12:12:55 PM",iPhone 6,,
,,Combined,,Combined,com.sec.android.app.shealth,"04/30/2024, 12:17:18 PM",,,,,VfS0qUERdZ,Combined,,37616639-3732-3263-6364-393930376237,0,"04/30/2024, 12:17:18 PM",,,
,66306531-3935-6463-3862-363634356330.capability,SM-R830,,Galaxy Watch Active2,com.sec.android.app.shealth,"04/30/2024, 12:17:33 PM",1,23,10049,1,xtfbSOmziO,Samsung Electronics,,66306531-3935-6463-3862-363634356330,360003,"04/30/2024, 12:17:33 PM",,,

