recommendation,source_info,source_package_name,binning_data,create_time,deviceuuid,modify_sh_ver,active_time,speed,achievement,healthy_step,create_sh_ver,datauuid,walk_step_count,run_step_count,day_time,calorie,distance,step_count,update_time,pkg_name,
6000,,com.sec.android.app.shealth,039b362c-f168-449a-a00c-aad4c37e8056.binning_data,"05/02/2024, 2:08:46 AM",xtfbSOmziO,,3252909,2.250000,039b362c-f168-449a-a00c-aad4c37e8056.achievement,0,,039b362c-f168-449a-a00c-aad4c37e8056,5764,1,1714608000000,201.967651,4322.346191,5765,"05/03/2024, 10:20:19 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,8f9b8a2e-0722-4de9-8ae3-2f111266fa25.binning_data,"05/02/2024, 2:35:08 AM",HuT3voPSBy,,4099000,1.772503,8f9b8a2e-0722-4de9-8ae3-2f111266fa25.achievement,0,,8f9b8a2e-0722-4de9-8ae3-2f111266fa25,4905,0,1714608000000,197.147491,3728.757080,4905,"05/02/2024, 11:52:32 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,abb39b5b-abbb-4370-9b84-c63557ce4534.binning_data,"05/03/2024, 3:45:03 AM",VfS0qUERdZ,,6987362,1.064411,abb39b5b-abbb-4370-9b84-c63557ce4534.achievement,0,,abb39b5b-abbb-4370-9b84-c63557ce4534,9928,1,1714694400000,370.487305,7437.424805,9929,"05/04/2024, 4:10:44 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,b356a1a8-1346-4a0b-85a6-a36ec8e5e723.binning_data,"05/03/2024, 3:45:03 AM",HuT3voPSBy,,5231000,1.847197,b356a1a8-1346-4a0b-85a6-a36ec8e5e723.achievement,0,,b356a1a8-1346-4a0b-85a6-a36ec8e5e723,6264,0,1714694400000,249.484619,4685.452637,6264,"05/04/2024, 4:10:49 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,57c501bf-4c18-4962-8e30-aacc91ed4d4a.binning_data,"05/03/2024, 10:20:19 AM",xtfbSOmziO,,3588759,2.299869,57c501bf-4c18-4962-8e30-aacc91ed4d4a.achievement,0,,57c501bf-4c18-4962-8e30-aacc91ed4d4a,6347,1,1714694400000,221.802689,4756.134766,6348,"05/03/2024, 5:11:37 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,63c6ccdb-e981-42b5-82e0-450aa6da9cac.binning_data,"05/04/2024, 4:10:44 AM",VfS0qUERdZ,,15350599,1.659617,63c6ccdb-e981-42b5-82e0-450aa6da9cac.achievement,0,,63c6ccdb-e981-42b5-82e0-450aa6da9cac,15767,14105,1714780800000,1574.527588,25476.117188,29872,"05/05/2024, 6:51:44 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,c90f9e2d-143b-4cda-9292-ee5e0d6d96fb.binning_data,"05/04/2024, 4:10:49 AM",HuT3voPSBy,,14307000,2.962436,c90f9e2d-143b-4cda-9292-ee5e0d6d96fb.achievement,0,,c90f9e2d-143b-4cda-9292-ee5e0d6d96fb,17488,7596,1714780800000,1259.309326,22847.347656,25084,"05/05/2024, 6:48:00 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,6efb2468-8f02-4a29-b86c-fa72f525c6db.binning_data,"05/04/2024, 7:23:54 AM",xtfbSOmziO,,12541163,3.222222,6efb2468-8f02-4a29-b86c-fa72f525c6db.achievement,0,,6efb2468-8f02-4a29-b86c-fa72f525c6db,13494,14094,1714780800000,1459.959961,23519.369141,27588,"05/05/2024, 6:51:44 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,23c3f6a3-919e-4a60-8822-34edc23911a0.binning_data,"05/05/2024, 6:47:58 AM",VfS0qUERdZ,,7057578,1.277441,23c3f6a3-919e-4a60-8822-34edc23911a0.achievement,0,,23c3f6a3-919e-4a60-8822-34edc23911a0,11938,25,1714867200000,426.904205,9015.641602,11963,"05/05/2024, 7:24:09 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,c9e39c37-6312-4319-bc16-f74c4650827f.binning_data,"05/05/2024, 6:48:00 AM",HuT3voPSBy,,2327000,1.774453,c9e39c37-6312-4319-bc16-f74c4650827f.achievement,0,,c9e39c37-6312-4319-bc16-f74c4650827f,2806,0,1714867200000,111.563141,2102.413818,2806,"05/05/2024, 9:43:02 PM",com.sec.android.app.shealth,
