dateTime,value
2021-12-09 17:59:49.786,92
2021-12-09 17:59:50.786,92
2021-12-09 17:59:51.786,94
2021-12-09 17:59:52.786,96
2021-12-09 17:59:53.786,98
2021-12-09 17:59:54.786,101
2021-12-09 17:59:55.786,104
2021-12-09 17:59:56.786,110
2021-12-09 17:59:57.786,110
2021-12-09 17:59:58.786,113
2021-12-09 17:59:59.786,115
2021-12-09 18:00:00.786,115
2021-12-09 18:00:01.786,117
2021-12-09 18:00:02.786,117
2021-12-09 18:00:03.786,118
2021-12-09 18:00:04.786,118
2021-12-09 18:00:05.786,118
2021-12-09 18:00:06.786,117
2021-12-09 18:00:07.786,117
2021-12-09 18:00:08.786,117
2021-12-09 18:00:09.786,117
2021-12-09 18:00:10.786,118
2021-12-09 18:00:11.786,118
2021-12-09 18:00:12.786,118
2021-12-09 18:00:13.786,118
2021-12-09 18:00:14.786,118
2021-12-09 18:00:15.786,118
2021-12-09 18:00:16.786,118
2021-12-09 18:00:17.786,118
2021-12-09 18:00:18.786,118
2021-12-09 18:00:19.786,119
2021-12-09 18:00:20.786,120
2021-12-09 18:00:21.786,120
2021-12-09 18:00:22.786,121
2021-12-09 18:00:23.786,121
2021-12-09 18:00:24.786,123
2021-12-09 18:00:25.786,124
2021-12-09 18:00:26.786,124
2021-12-09 18:00:27.786,125
2021-12-09 18:00:28.786,125
2021-12-09 18:00:29.786,125
2021-12-09 18:00:30.786,125
2021-12-09 18:00:31.786,124
2021-12-09 18:00:32.786,124
2021-12-09 18:00:33.786,123
2021-12-09 18:00:34.786,123
2021-12-09 18:00:35.786,122
2021-12-09 18:00:36.786,122
2021-12-09 18:00:37.786,122
2021-12-09 18:00:38.786,122
2021-12-09 18:00:39.786,122
2021-12-09 18:00:40.786,122
2021-12-09 18:00:41.786,123
2021-12-09 18:00:42.786,122
2021-12-09 18:00:43.786,123
2021-12-09 18:00:44.786,123
2021-12-09 18:00:45.786,124
2021-12-09 18:00:46.786,124
2021-12-09 18:00:47.786,126
2021-12-09 18:00:48.786,126
2021-12-09 18:00:49.786,127
2021-12-09 18:00:50.786,128
2021-12-09 18:00:51.786,129
2021-12-09 18:00:52.786,129
2021-12-09 18:00:53.786,129
2021-12-09 18:00:54.786,130
2021-12-09 18:00:55.786,130
2021-12-09 18:00:56.786,130
2021-12-09 18:00:57.786,130
2021-12-09 18:00:58.786,131
2021-12-09 18:00:59.786,131
2021-12-09 18:01:00.786,131
2021-12-09 18:01:01.786,131
2021-12-09 18:01:02.786,131
2021-12-09 18:01:03.786,131
2021-12-09 18:01:04.786,130
2021-12-09 18:01:05.786,130
2021-12-09 18:01:06.786,129
2021-12-09 18:01:07.786,129
2021-12-09 18:01:08.786,129
2021-12-09 18:01:09.786,129
2021-12-09 18:01:10.786,130
2021-12-09 18:01:11.786,130
2021-12-09 18:01:12.786,130
2021-12-09 18:01:13.786,129
2021-12-09 18:01:14.786,130
2021-12-09 18:01:15.786,130
2021-12-09 18:01:16.786,130
2021-12-09 18:01:17.786,131
2021-12-09 18:01:18.786,131
2021-12-09 18:01:19.786,131
2021-12-09 18:01:20.786,131
2021-12-09 18:01:21.786,131
2021-12-09 18:01:22.786,131
2021-12-09 18:01:23.786,131
2021-12-09 18:01:24.786,131
2021-12-09 18:01:25.786,131
2021-12-09 18:01:26.786,130
2021-12-09 18:01:27.786,130
2021-12-09 18:01:28.786,130
2021-12-09 18:01:29.786,130
2021-12-09 18:01:30.786,132
2021-12-09 18:01:31.786,133
2021-12-09 18:01:32.786,134
2021-12-09 18:01:33.786,135
2021-12-09 18:01:34.786,135
2021-12-09 18:01:35.786,135
2021-12-09 18:01:36.786,135
2021-12-09 18:01:37.786,135
2021-12-09 18:01:38.786,136
2021-12-09 18:01:39.786,136
2021-12-09 18:01:40.786,136
2021-12-09 18:01:41.786,137
2021-12-09 18:01:42.786,137
2021-12-09 18:01:43.786,137
2021-12-09 18:01:44.786,137
2021-12-09 18:01:45.786,137
2021-12-09 18:01:46.786,138
2021-12-09 18:01:47.786,137
2021-12-09 18:01:48.786,137
2021-12-09 18:01:49.786,137
2021-12-09 18:01:50.786,136
2021-12-09 18:01:51.786,136
2021-12-09 18:01:52.786,135
2021-12-09 18:01:53.786,134
2021-12-09 18:01:54.786,134
2021-12-09 18:01:55.786,133
2021-12-09 18:01:56.786,133
2021-12-09 18:01:57.786,133
2021-12-09 18:01:58.786,133
2021-12-09 18:01:59.786,132
2021-12-09 18:02:00.786,132
2021-12-09 18:02:01.786,132
2021-12-09 18:02:02.786,133
2021-12-09 18:02:03.786,133
2021-12-09 18:02:04.786,133
2021-12-09 18:02:05.786,133
2021-12-09 18:02:06.786,133
2021-12-09 18:02:07.786,133
2021-12-09 18:02:08.786,133
2021-12-09 18:02:09.786,133
2021-12-09 18:02:10.786,134
2021-12-09 18:02:11.786,134
2021-12-09 18:02:12.786,134
2021-12-09 18:02:13.786,134
2021-12-09 18:02:14.786,134
2021-12-09 18:02:15.786,134
2021-12-09 18:02:16.786,135
2021-12-09 18:02:17.786,134
2021-12-09 18:02:18.786,134
2021-12-09 18:02:19.786,134
2021-12-09 18:02:20.786,134
2021-12-09 18:02:21.786,134
2021-12-09 18:02:22.786,136
2021-12-09 18:02:23.786,136
2021-12-09 18:02:24.786,136
