com.samsung.shealth.rewards,1148009,5
is_visible,pkg_name,number_of_streak,time_offset,exercise_type,source_pkg_name,start_time,device_type,program_id,title,deviceuuid,exercise_session_id,controller_id,end_time,extra_data,datauuid,create_time,update_time
0,com.sec.android.app.shealth,,-14400000,,,"04/24/2024, 5:00:00 PM",2399999,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/24/2024, 9:00:00 PM",""{
  "mTarget" : 6000,
  "mValue" : 9164
}"",8746931f-293f-4b5e-946e-794be937a63f,"04/30/2024, 12:17:49 PM","05/03/2024, 10:20:19 AM",
0,com.sec.android.app.shealth,,-14400000,,,"04/25/2024, 5:00:00 PM",2399999,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/25/2024, 9:00:00 PM",""{
  "mTarget" : 6000,
  "mValue" : 29141
}"",06e73919-65e9-41a6-bb5d-b79adf7d4095,"04/30/2024, 12:17:49 PM","04/30/2024, 1:11:59 PM",
0,com.sec.android.app.shealth,,-14400000,,,"04/25/2024, 5:00:00 PM",2399999,,tracker_pedometer_reward_most_walking_day,HuT3voPSBy,,tracker.pedometer,"04/26/2024, 5:00:00 PM",""{
  "mTarget" : -1,
  "mValue" : 29141
}"",0249cab7-9017-49be-8799-0f460edb1eb5,"04/30/2024, 12:17:49 PM","04/30/2024, 12:17:49 PM",
0,com.sec.android.app.shealth,,-14400000,,,"04/24/2024, 5:00:00 PM",100003,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/24/2024, 9:00:00 PM",""{
  "mTarget" : 6000,
  "mValue" : 9164
}"",62dfc5e3-b334-4437-bb2b-0794468f66b1,"04/30/2024, 12:17:50 PM","05/04/2024, 11:19:13 AM",
0,com.sec.android.app.shealth,,-14400000,,,"04/25/2024, 5:00:00 PM",100003,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/25/2024, 9:00:00 PM",""{
  "mTarget" : 6000,
  "mValue" : 29141
}"",54c9c290-2a0d-4fdc-b882-bf8e9294f8dd,"04/30/2024, 12:17:50 PM","05/11/2024, 6:42:26 AM",
0,com.sec.android.app.shealth,,-14400000,,,"04/25/2024, 5:00:00 PM",100003,,tracker_pedometer_reward_most_walking_day,HuT3voPSBy,,tracker.pedometer,"04/26/2024, 5:00:00 PM",""{
  "mTarget" : -1,
  "mValue" : 29141
}"",712b339e-8864-41ae-a11b-4cdbcf23a0b8,"04/30/2024, 12:17:50 PM","04/30/2024, 12:17:50 PM",
0,com.sec.android.app.shealth,,-25200000,,,"04/28/2024, 5:00:00 PM",100003,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/29/2024, 12:00:00 AM",""{
  "mTarget" : 6000,
  "mValue" : 11531
}"",c3f3b954-9521-47a6-9e4c-13eded0a7d3f,"04/30/2024, 1:08:44 PM","08/28/2024, 4:16:02 PM",
0,com.sec.android.app.shealth,,-25200000,,,"04/28/2024, 5:00:00 PM",2399999,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/29/2024, 12:00:00 AM",""{
  "mTarget" : 6000,
  "mValue" : 11192
}"",9c10bb55-3301-41de-886f-3c7dfc74e37b,"04/30/2024, 1:11:59 PM","11/07/2024, 8:36:23 AM",
0,com.sec.android.app.shealth,,-14400000,,,"04/29/2024, 9:00:00 PM",,,goal_activity_reward_goal_achieved,HuT3voPSBy,,goal.activity,"04/29/2024, 9:00:00 PM",""{
  "mValue2" : 60,
  "mValue" : 92,
  "mIsCompleted" : false
}"",0d39b5a3-5e85-46c9-835f-af031347358c,"04/30/2024, 1:12:00 PM","05/01/2024, 6:01:20 AM",
0,com.sec.android.app.shealth,,-25200000,,,"04/29/2024, 5:00:00 PM",10009,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/30/2024, 12:00:00 AM",""{
  "mTarget" : 6000,
  "mValue" : 6911
}"",b8376192-9adc-4719-bc10-d61b88c8b1d8,"04/30/2024, 1:39:30 PM","11/06/2024, 10:10:35 PM",
0,com.sec.android.app.shealth,,-14400000,,,"04/29/2024, 9:00:00 PM",,,goal_activity_reward_most_active_day,HuT3voPSBy,,goal.activity,"04/29/2024, 9:00:00 PM",""{
  "mValue2" : 0,
  "mValue" : 92,
  "mIsCompleted" : false
}"",39c62c13-ad9a-430f-94a2-32176db93968,"04/30/2024, 1:39:31 PM","05/01/2024, 2:15:03 PM",
0,com.sec.android.app.shealth,,-25200000,,,"04/28/2024, 5:00:00 PM",10009,,tracker_pedometer_reward_target_achieved,HuT3voPSBy,,tracker.pedometer,"04/29/2024, 12:00:00 AM",""{
  "mTarget" : 6000,
  "mValue" : 7097
}"",0f0a48d8-9138-4a39-8e98-d5cbdd317150,"04/30/2024, 9:44:45 PM","11/06/2024, 10:10:35 PM",
0,com.sec.android.app.shealth,,-14400000,,,"04/30/2024, 9:00:00 PM",,,goal_activity_reward_goal_achieved,HuT3voPSBy,,goal.activity,"04/30/2024, 9:00:00 PM",""{
  "mValue2" : 60,
  "mValue" : 99,
  "mIsCompleted" : false
}"",04fd9022-8482-4c26-b12c-a8de9e05b45c,"05/01/2024, 6:01:20 AM","05/03/2024, 10:20:20 AM",
